Timestamp,X,Y
1775762158340,482,8
1775762158470,482,8
1775762158490,483,8
1775762158506,484,8
1775762158527,487,10
1775762158549,490,12
1775762158569,492,14
1775762158590,493,15
1775762158621,494,15
1775762158674,495,16
1775762158756,495,16
1775762158824,495,16
1775762158852,495,16
1775762159218,493,17
1775762159238,479,20
1775762159258,453,27
1775762159279,421,34
1775762159299,389,37
1775762159320,364,41
1775762159340,345,42
1775762159361,330,42
1775762159381,322,41
1775762159404,317,39
1775762159423,315,38
1775762159444,313,37
1775762159463,312,36
1775762159486,311,36
1775762159504,310,35
1775762159524,308,33
1775762159545,305,32
1775762159565,303,30
1775762159585,301,28
1775762159606,298,27
1775762159627,296,26
1775762159647,293,24
1775762159668,289,21
1775762159688,284,18
1775762159708,281,15
1775762159729,278,14
1775762159763,277,12
1775762160272,277,12
1775762160292,282,16
1775762160313,290,19
1775762160334,298,24
1775762160354,306,26
1775762160375,309,27
1775762160395,310,27
1775762160531,310,26
1775762160565,309,24
1775762160586,308,23
1775762160607,307,21
1775762160631,307,20
1775762160652,306,19
1775762160680,304,18
1775762160715,304,18
1775762160770,304,18
1775762160790,304,18
1775762160812,303,18
1775762160852,302,18
1775762160886,302,18
1775762160920,301,18
1775762160954,301,18
1775762160995,301,18
1775762161319,299,18
1775762161340,295,19
1775762161361,293,19
1775762161381,289,19
1775762161402,286,19
1775762161423,283,18
1775762161446,279,18
1775762161465,274,18
1775762161486,269,18
1775762161506,264,18
1775762161527,261,17
1775762161548,258,17
1775762161571,257,17
1775762161590,257,17
1775762161633,256,17
1775762161680,256,17
1775762161707,255,17
1775762161728,255,17
1775762161754,254,17
1775762161775,254,17
1775762161795,253,17
1775762161822,253,17
1775762161884,252,17
1775762162285,253,18
1775762162306,258,27
1775762162327,267,44
1775762162347,276,69
1775762162368,284,92
1775762162388,289,110
1775762162409,291,123
1775762162430,291,130
1775762162451,291,133
1775762164721,291,134
1775762164741,289,142
1775762164762,286,153
1775762164783,282,168
1775762164804,277,187
1775762164824,273,205
1775762164846,267,220
1775762164867,263,229
1775762164887,261,238
1775762164908,259,243
1775762164929,258,246
1775762164979,258,247
1775762165006,258,248
1775762165034,258,249
1775762165055,258,250
1775762165075,259,251
1775762165095,261,255
1775762165116,263,258
1775762165137,264,260
1775762165158,265,264
1775762165179,266,268
1775762165200,266,273
1775762165221,267,276
1775762165242,268,279
1775762165262,270,286
1775762165283,271,294
1775762165304,272,300
1775762165324,272,302
1775762165340,272,303
1775762165375,272,303
1775762165423,272,303
1775762165464,272,304
1775762165490,271,304
1775762165512,271,304
1775762165533,271,304
1775762166813,272,305
1775762166833,290,323
1775762166853,321,349
1775762166873,357,378
1775762166894,398,409
1775762166915,456,448
1775762166935,519,487
1775762166957,557,503
1775762166978,578,511
1775762167204,585,514
1775762167224,599,520
1775762167244,626,527
1775762167264,669,533
1775762167285,723,538
1775762167305,772,550
1775762167326,805,561
1775762167347,824,568
1775762167367,832,571
1775762167387,838,574
1775762167408,843,578
1775762167429,846,581
1775762167462,847,582
1775762167503,848,582
1775762167667,848,581
1775762167695,847,581
1775762167722,847,580
1775762170582,847,581
1775762170602,847,586
1775762170623,846,591
1775762170643,843,601
1775762170664,840,612
1775762170685,836,624
1775762170706,833,635
1775762170727,831,646
1775762170747,830,657
1775762170769,830,662
1775762170875,831,663
1775762170895,833,659
1775762170916,836,653
1775762170936,842,644
1775762170957,850,634
1775762170978,859,625
1775762170998,866,618
1775762171018,869,616
1775762171066,870,616
1775762172696,869,616
1775762172716,866,616
1775762172737,853,616
1775762172757,828,609
1775762172778,789,589
1775762172798,736,555
1775762172819,687,518
1775762172839,637,477
1775762172860,572,421
1775762172880,523,380
1775762172901,490,352
1775762172921,479,343
1775762173268,479,343
1775762173288,485,352
1775762173309,497,373
1775762173330,513,395
1775762173351,525,413
1775762173372,534,427
1775762173393,542,436
1775762173414,546,441
1775762173435,550,445
1775762173469,551,445
1775762173492,551,444
1775762173511,552,444
1775762173532,554,440
1775762173554,556,436
1775762173573,561,428
1775762173594,573,412
1775762173615,585,399
1775762173636,597,386
1775762173657,609,375
1775762173678,621,367
1775762173699,628,364
1775762173720,632,362
1775762173998,633,362
1775762174019,643,362
1775762174039,666,360
1775762174060,689,360
1775762174080,715,364
1775762174101,744,372
1775762174123,764,381
1775762174143,778,389
1775762174163,786,392
1775762174184,788,393
1775762174524,789,393
1775762174545,794,390
1775762174566,806,386
1775762174590,818,382
1775762174608,831,378
1775762174629,840,375
1775762174650,847,373
1775762174670,850,372
1775762174797,852,372
1775762174817,852,372
1775762174837,854,372
1775762174859,861,372
1775762174879,872,371
1775762174899,884,369
1775762174920,899,368
1775762174941,912,367
1775762174963,922,366
1775762174983,930,366
1775762175004,935,365
1775762175024,939,365
1775762175045,942,364
1775762175436,944,365
1775762175457,948,366
1775762175478,956,369
1775762175497,968,374
1775762175518,976,376
1775762175539,982,377
1775762175560,984,377
1775762175908,984,377
1775762175928,983,380
1775762175948,979,382
1775762175969,964,385
1775762175990,936,389
1775762176011,885,392
1775762176032,844,394
1775762176052,798,399
1775762176073,764,401
1775762176095,738,401
1775762176114,722,401
1775762176136,716,401
1775762176397,714,401
1775762176417,709,401
1775762176438,697,402
1775762176458,679,403
1775762176479,653,403
1775762176500,623,403
1775762176520,599,402
1775762176540,584,402
1775762176561,574,401
1775762176581,567,400
1775762176601,564,400
1775762176786,564,400
1775762176813,565,401
1775762176833,565,402
1775762176854,565,402
1775762176881,565,403
1775762176901,565,403
1775762176920,565,404
1775762176943,565,404
1775762176963,566,405
1775762176990,566,407
1775762177011,565,407
1775762177032,564,409
1775762177059,564,410
1775762177080,564,411
1775762177209,564,410
1775762177229,563,407
1775762177249,563,404
1775762177277,563,403
1775762177304,563,402
1775762177331,563,401
1775762177372,563,401
1775762178314,571,398
1775762178334,615,392
1775762178355,694,396
1775762178375,830,413
1775762178395,932,430
1775762178416,1029,445
1775762178436,1088,455
1775762178457,1124,463
1775762178705,1141,466
1775762178726,1159,466
1775762178747,1195,464
1775762178767,1261,453
1775762178788,1332,438
1775762178809,1396,428
1775762178829,1437,427
1775762178850,1456,429
1775762178871,1466,430
1775762178887,1468,430
1775762179798,1469,430
1775762179818,1475,430
1775762179838,1491,431
1775762179859,1508,435
1775762179880,1523,444
1775762179900,1538,461
1775762179921,1558,498
1775762179941,1572,543
1775762179961,1576,570
1775762179982,1575,591
1775762180003,1572,599
1775762180023,1571,601
1775762184907,1570,601
1775762184928,1564,600
1775762184948,1551,600
1775762184969,1531,600
1775762184989,1506,603
1775762185009,1471,606
1775762185030,1407,605
1775762185051,1354,600
1775762185071,1283,589
1775762185092,1235,575
1775762185112,1201,565
1775762185134,1181,559
1775762185155,1173,557
1775762185420,1171,556
1775762185439,1165,556
1775762185460,1152,560
1775762185481,1125,563
1775762185501,1092,564
1775762185522,1043,562
1775762185544,1006,557
1775762185564,963,552
1775762185585,928,547
1775762185606,904,544
1775762185627,889,544
1775762185881,885,543
1775762185901,876,545
1775762185922,857,546
1775762185942,829,545
1775762185962,795,542
1775762185983,758,537
1775762186004,719,529
1775762186024,686,524
1775762186045,661,521
1775762186065,643,521
1775762186085,634,520
1775762186106,629,519
1775762186323,628,518
1775762186342,619,518
1775762186363,604,516
1775762186384,579,511
1775762186405,559,508
1775762186426,544,505
1775762186446,531,501
1775762186467,520,497
1775762186490,512,493
1775762186509,506,491
1775762186529,501,488
1775762186550,497,485
1775762186572,494,482
1775762186592,492,481
1775762186613,491,479
1775762186634,489,476
1775762186656,486,474
1775762186675,483,471
1775762186696,478,467
1775762186717,476,467
1775762186738,475,467
1775762186915,475,467
1775762186935,475,468
1775762187497,476,468
1775762187517,482,468
1775762187538,495,468
1775762187559,512,468
1775762187579,528,467
1775762187599,541,467
1775762187620,553,468
1775762187640,562,471
1775762187662,570,471
1775762187682,574,472
1775762187703,578,473
1775762187724,583,474
1775762187745,587,475
1775762188039,589,476
1775762188060,598,484
1775762188080,613,500
1775762188100,629,520
1775762188121,642,544
1775762188142,651,563
1775762188164,656,574
1775762188182,658,580
1775762188203,658,582
1775762190016,658,582
1775762190036,668,584
1775762190057,680,589
1775762190077,691,592
1775762190098,701,595
1775762190119,708,597
1775762190140,711,597
1775762190166,711,597
1775762190221,712,597
1775762190391,712,597
1775762190417,711,596
1775762190445,709,593
1775762191214,709,595
1775762191235,711,598
1775762191255,716,607
1775762191276,723,622
1775762191297,735,639
1775762191317,747,652
1775762191337,758,661
1775762191358,768,669
1775762191379,777,675
1775762191399,786,679
1775762191419,792,680
1775762191650,792,679
1775762191670,778,670
1775762191692,751,652
1775762191712,703,625
1775762191732,637,589
1775762191752,599,568
1775762191773,558,547
1775762191795,528,532
1775762191814,507,519
1775762191835,493,512
1775762191862,490,509
1775762192021,491,502
1775762192042,478,498
1775762192063,453,484
1775762192083,417,461
1775762192105,393,440
1775762192126,363,414
1775762192147,341,392
1775762192168,327,378
1775762192188,318,369
1775762192209,312,363
1775762192229,308,358
1775762192251,305,356
1775762192272,303,355
1775762192292,301,352
1775762192328,298,351
1775762192348,298,350
1775762192382,298,350
1775762192403,297,350
1775762192423,294,348
1775762192443,290,345
1775762192464,286,340
1775762192484,281,337
1775762192505,278,333
1775762192525,276,331
1775762192549,274,330
1775762192566,274,330
1775762192607,273,329
1775762192703,273,329
1775762203462,1864,1027
1775762203482,1827,997
1775762203503,1782,945
1775762203524,1745,894
1775762203544,1708,841
1775762203564,1680,805
1775762203585,1662,784
1775762203605,1647,769
1775762203626,1639,761
1775762203646,1634,759
1775762203862,1628,761
1775762203883,1614,761
1775762203903,1590,757
1775762203925,1545,744
1775762203944,1481,717
